"序号","项目","比赛名称","开始日期","结束日期","承办单位","地点","是否我们项目"
"83","越野滑雪","2025-2026赛季全国越野滑雪锦标赛","2026-01-01","2026-01-08","长春市体育局","长春市净月潭越野滑雪场","否"
"110","冰球","2025-2026赛季中国男子冰球职业联赛（齐齐哈尔站）","2026-01-03","2026-01-09","齐齐哈尔市体育局","齐齐哈尔黑龙冰球馆","否"
"82","越野滑雪","2025-2026赛季全国越野滑雪青少年锦标赛","2026-01-04","2026-01-10","陕西省体育局冬运中心","陕西省延安市黄龙山冰雪运动基地","否"
"32","自由式滑雪空中技巧","2025-2026赛季全国自由式滑雪空中技巧青少年锦标赛","2026-01-05","2026-01-14","长春市冬季运动管理中心（长春业余冰雪运动学校）","吉林省长春市莲花山滑雪场","否"
"86","冬季两项","2025-2026赛季全国冬季两项锦标赛","2026-01-05","2026-01-11","内蒙古凉城县教育体育局","内蒙古乌兰察布市凉城县滑雪场","否"
"11","短道速滑","2025-2026赛季全国短道速滑青少年锦标赛","2026-01-08","2026-01-11","黑龙江省体育局","黑龙江省冰上训练中心综合馆","否"
"56","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪大跳台和坡面障碍技巧青少年U系列比赛-第二站","2026-01-08","2026-01-11","北京华体冰雪产业发展有限公司","张家口市富龙滑雪场","是"
"55","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪大跳台和坡面障碍技巧青少年U系列比赛-第二站","2026-01-11","2026-01-14","北京华体冰雪产业发展有限公司","张家口市富龙滑雪场","是"
"65","高山滑雪","2025-2026赛季全国高山滑雪青少年U系列比赛-第二站","2026-01-12","2026-01-16","北京华体冰雪产业发展有限公司","吉林松花湖滑雪场","是"
"16","速度滑冰","2025-2026赛季全国速度滑冰青年锦标赛","2026-01-15","2026-01-18","黑龙江省体育局","黑龙江省速滑馆","否"
"74","自由式滑雪障碍追逐","2025-2026赛季全国自由式滑雪障碍追逐锦标赛","2026-01-21","2026-01-28","沈阳东北亚景区经营管理有限公司","辽宁沈阳东北亚滑雪场","否"
"76","单板滑雪障碍追逐","2025-2026赛季全国单板滑雪障碍追逐锦标赛","2026-01-21","2026-01-29","沈阳东北亚景区经营管理有限公司","辽宁沈阳东北亚滑雪场","否"
"17","速度滑冰","2025-2026赛季全国速度滑冰锦标赛","2026-01-22","2026-01-25","国家速滑馆","国家速滑馆","否"
"43","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪坡面障碍技巧锦标赛","2026-01-26","2026-02-01","黑龙江省体育局","哈尔滨市亚布力滑雪场","是"
"49","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪坡面障碍技巧锦标赛","2026-01-26","2026-02-01","黑龙江省体育局","哈尔滨市亚布力滑雪场","是"
"72","单板滑雪平行大回转","2025-2026赛季全国单板滑雪平行项目青少年U系列比赛-第二站","2026-01-27","2026-01-29","北京华体冰雪产业发展有限公司","沈阳东北亚滑雪场","是"
"21","速度滑冰","2025-2026赛季全国滑冰U系列中学校际联赛（速度滑冰）第三站","2026-01-30","2026-02-01","延边州体育局","汪清县体育公园速滑场","否"
"66","高山滑雪","2025-2026赛季全国高山滑雪青少年U系列比赛-第三站","2026-02-02","2026-02-06","北京华体冰雪产业发展有限公司","陕西鳌山滑雪场","是"
"75","自由式滑雪障碍追逐","2025-2026赛季全国自由式滑雪障碍追逐冠军赛","2026-02-02","2026-02-09","沈阳东北亚景区经营管理有限公司","辽宁沈阳东北亚滑雪场","否"
